name,registeredUsers,appOpens,year,quarter,state
kasaragod district,121264,1204490,2020,1,kerala
malappuram district,387405,3701945,2020,1,kerala
pathanamthitta district,118197,1168749,2020,1,kerala
wayanad district,101733,1172735,2020,1,kerala
alappuzha district,235048,2565160,2020,1,kerala
kozhikode district,404139,4887122,2020,1,kerala
kollam district,265751,2917884,2020,1,kerala
thrissur district,349437,3445588,2020,1,kerala
palakkad district,277861,2987636,2020,1,kerala
kannur district,282719,2862750,2020,1,kerala
kottayam district,229263,2292523,2020,1,kerala
ernakulam district,716945,9757027,2020,1,kerala
idukki district,122253,1284465,2020,1,kerala
thiruvananthapuram district,536574,5451213,2020,2,kerala
kasaragod district,147502,1528087,2020,2,kerala
malappuram district,445757,3974301,2020,2,kerala
pathanamthitta district,140329,1272810,2020,2,kerala
wayanad district,120305,1327210,2020,2,kerala
alappuzha district,274531,2704982,2020,2,kerala
kozhikode district,469436,4839388,2020,2,kerala
kollam district,318727,3265373,2020,2,kerala
thrissur district,403662,3488414,2020,2,kerala
palakkad district,324519,3251760,2020,2,kerala
kannur district,338685,3495639,2020,2,kerala
kottayam district,265591,2380765,2020,2,kerala
ernakulam district,798771,7499783,2020,2,kerala
idukki district,144455,1353228,2020,2,kerala
thiruvananthapuram district,624681,7345447,2020,3,kerala
kasaragod district,180232,2179862,2020,3,kerala
malappuram district,533108,5623411,2020,3,kerala
pathanamthitta district,167320,1736047,2020,3,kerala
wayanad district,142714,1846742,2020,3,kerala
alappuzha district,330393,3840522,2020,3,kerala
kozhikode district,554275,6888523,2020,3,kerala
kollam district,385866,4660522,2020,3,kerala
thrissur district,479671,4994319,2020,3,kerala
palakkad district,384712,4352750,2020,3,kerala
kannur district,400107,4640937,2020,3,kerala
kottayam district,311954,3190433,2020,3,kerala
ernakulam district,917356,11265204,2020,3,kerala
idukki district,169911,1744303,2020,3,kerala
thiruvananthapuram district,708948,10482263,2020,4,kerala
kasaragod district,209440,2848250,2020,4,kerala
malappuram district,619218,8047145,2020,4,kerala
pathanamthitta district,192013,2377621,2020,4,kerala
wayanad district,164709,2757030,2020,4,kerala
alappuzha district,377772,5193038,2020,4,kerala
kozhikode district,635320,9740863,2020,4,kerala
kollam district,442546,6115482,2020,4,kerala
thrissur district,548425,6831111,2020,4,kerala
palakkad district,439597,5835404,2020,4,kerala
kannur district,457911,6250499,2020,4,kerala
kottayam district,357079,4475611,2020,4,kerala
ernakulam district,1039584,17903269,2020,4,kerala
idukki district,194607,2557687,2020,4,kerala
thiruvananthapuram district,767813,12466068,2021,1,kerala
kasaragod district,228237,3185008,2021,1,kerala
malappuram district,676242,10051526,2021,1,kerala
pathanamthitta district,208354,2657364,2021,1,kerala
wayanad district,179709,3269417,2021,1,kerala
alappuzha district,410141,5933047,2021,1,kerala
kozhikode district,691148,11973015,2021,1,kerala
kollam district,480459,6908382,2021,1,kerala
thrissur district,594589,7910699,2021,1,kerala
palakkad district,477868,6855314,2021,1,kerala
kannur district,496955,7186972,2021,1,kerala
kottayam district,387696,5271780,2021,1,kerala
ernakulam district,1126122,22261257,2021,1,kerala
idukki district,211610,2988884,2021,1,kerala
thiruvananthapuram district,820485,8526776,2021,2,kerala
kasaragod district,243917,3444687,2021,2,kerala
malappuram district,722597,8227295,2021,2,kerala
pathanamthitta district,222891,2852610,2021,2,kerala
wayanad district,192607,3553608,2021,2,kerala
alappuzha district,438924,4396583,2021,2,kerala
kozhikode district,737623,9003105,2021,2,kerala
kollam district,513820,5757980,2021,2,kerala
thrissur district,635598,6202633,2021,2,kerala
palakkad district,511298,6562902,2021,2,kerala
kannur district,530657,6759103,2021,2,kerala
kottayam district,415007,4409816,2021,2,kerala
ernakulam district,1203623,13632731,2021,2,kerala
idukki district,227036,4484586,2021,2,kerala
thiruvananthapuram district,878444,11037318,2021,3,kerala
kasaragod district,261347,4398139,2021,3,kerala
malappuram district,773963,11600738,2021,3,kerala
pathanamthitta district,239479,3473793,2021,3,kerala
wayanad district,206950,4890558,2021,3,kerala
alappuzha district,471228,5643125,2021,3,kerala
kozhikode district,789078,11968490,2021,3,kerala
kollam district,551267,7524489,2021,3,kerala
thrissur district,681187,8015973,2021,3,kerala
palakkad district,548776,8458671,2021,3,kerala
kannur district,568613,8784346,2021,3,kerala
kottayam district,445540,5814480,2021,3,kerala
ernakulam district,1289089,18436828,2021,3,kerala
idukki district,244464,6235769,2021,3,kerala
thiruvananthapuram district,935705,21270773,2021,4,kerala
kasaragod district,278581,7248336,2021,4,kerala
malappuram district,824018,23720176,2021,4,kerala
pathanamthitta district,255731,5391118,2021,4,kerala
wayanad district,220807,7982879,2021,4,kerala
alappuzha district,503589,11363976,2021,4,kerala
kozhikode district,839678,24235913,2021,4,kerala
kollam district,588254,13796316,2021,4,kerala
thrissur district,725878,14357402,2021,4,kerala
palakkad district,585306,15190646,2021,4,kerala
kannur district,605576,15222905,2021,4,kerala
kottayam district,475496,10593013,2021,4,kerala
ernakulam district,1374081,36976737,2021,4,kerala
idukki district,261110,6192667,2021,4,kerala
kargil district,1529,0,2018,1,ladakh
leh ladakh district,7255,0,2018,1,ladakh
kargil district,2185,0,2018,2,ladakh
leh ladakh district,10733,0,2018,2,ladakh
kargil district,3132,0,2018,3,ladakh
leh ladakh district,14617,0,2018,3,ladakh
kargil district,4436,0,2018,4,ladakh
leh ladakh district,19447,0,2018,4,ladakh
kargil district,5758,0,2019,1,ladakh
leh ladakh district,23891,0,2019,1,ladakh
kargil district,7126,37803,2019,2,ladakh
leh ladakh district,28390,119514,2019,2,ladakh
kargil district,7718,75759,2019,3,ladakh
leh ladakh district,31455,427367,2019,3,ladakh
kargil district,8338,29350,2019,4,ladakh
leh ladakh district,34770,441090,2019,4,ladakh
kargil district,9711,120845,2020,1,ladakh
leh ladakh district,38079,469639,2020,1,ladakh
kargil district,11252,169411,2020,2,ladakh
leh ladakh district,41782,526262,2020,2,ladakh
kargil district,12814,229879,2020,3,ladakh
leh ladakh district,45587,785801,2020,3,ladakh
kargil district,14601,273960,2020,4,ladakh
leh ladakh district,50252,958797,2020,4,ladakh
kargil district,15824,237045,2021,1,ladakh
leh ladakh district,54095,947159,2021,1,ladakh
kargil district,17077,1494139,2021,2,ladakh
leh ladakh district,57971,2897493,2021,2,ladakh
kargil district,18577,2373080,2021,3,ladakh
leh ladakh district,62633,4726470,2021,3,ladakh
kargil district,20008,573827,2021,4,ladakh
leh ladakh district,67049,2091376,2021,4,ladakh
lakshadweep district,501,0,2018,1,lakshadweep
lakshadweep district,686,0,2018,2,lakshadweep
lakshadweep district,918,0,2018,3,lakshadweep
lakshadweep district,1156,0,2018,4,lakshadweep
lakshadweep district,1416,0,2019,1,lakshadweep
lakshadweep district,1747,4580,2019,2,lakshadweep
lakshadweep district,2117,15038,2019,3,lakshadweep
lakshadweep district,2427,17760,2019,4,lakshadweep
lakshadweep district,2772,21982,2020,1,lakshadweep
lakshadweep district,3187,29202,2020,2,lakshadweep
lakshadweep district,3644,32128,2020,3,lakshadweep
lakshadweep district,4179,41144,2020,4,lakshadweep
lakshadweep district,4577,47283,2021,1,lakshadweep
lakshadweep district,4896,40301,2021,2,lakshadweep
lakshadweep district,5287,49127,2021,3,lakshadweep
lakshadweep district,5638,67320,2021,4,lakshadweep
morena district,42153,0,2018,1,madhya-pradesh
alirajpur district,3746,0,2018,1,madhya-pradesh
sehore district,61158,0,2018,1,madhya-pradesh
rajgarh district,39336,0,2018,1,madhya-pradesh
khargone district,40995,0,2018,1,madhya-pradesh
satna district,59252,0,2018,1,madhya-pradesh
narsinghpur district,38027,0,2018,1,madhya-pradesh
jabalpur district,115953,0,2018,1,madhya-pradesh
hoshangabad district,50658,0,2018,1,madhya-pradesh
vidisha district,43378,0,2018,1,madhya-pradesh
balaghat district,38064,0,2018,1,madhya-pradesh
singrauli district,45254,0,2018,1,madhya-pradesh
betul district,49045,0,2018,1,madhya-pradesh
sidhi district,20030,0,2018,1,madhya-pradesh
datia district,16322,0,2018,1,madhya-pradesh
dewas district,62902,0,2018,1,madhya-pradesh
sheopur district,9808,0,2018,1,madhya-pradesh
neemuch district,27995,0,2018,1,madhya-pradesh
raisen district,47344,0,2018,1,madhya-pradesh
mandsaur district,42041,0,2018,1,madhya-pradesh
barwani district,15811,0,2018,1,madhya-pradesh
katni district,28098,0,2018,1,madhya-pradesh
dindori district,6114,0,2018,1,madhya-pradesh
shivpuri district,25449,0,2018,1,madhya-pradesh
gwalior district,142453,0,2018,1,madhya-pradesh
anuppur district,18656,0,2018,1,madhya-pradesh
agar malwa district,12058,0,2018,1,madhya-pradesh
ashoknagar district,16495,0,2018,1,madhya-pradesh
sagar district,72857,0,2018,1,madhya-pradesh
niwari district,6771,0,2018,1,madhya-pradesh
rewa district,73336,0,2018,1,madhya-pradesh
shajapur district,29995,0,2018,1,madhya-pradesh
ujjain district,84441,0,2018,1,madhya-pradesh
bhind district,34085,0,2018,1,madhya-pradesh
tikamgarh district,15917,0,2018,1,madhya-pradesh
seoni district,29095,0,2018,1,madhya-pradesh
harda district,18120,0,2018,1,madhya-pradesh
burhanpur district,16077,0,2018,1,madhya-pradesh
damoh district,24961,0,2018,1,madhya-pradesh
bhopal district,307312,0,2018,1,madhya-pradesh
jhabua district,9632,0,2018,1,madhya-pradesh
dhar district,63440,0,2018,1,madhya-pradesh
guna district,36829,0,2018,1,madhya-pradesh
east nimar district,29308,0,2018,1,madhya-pradesh
chhindwara district,65005,0,2018,1,madhya-pradesh
umaria district,11572,0,2018,1,madhya-pradesh
mandla district,13593,0,2018,1,madhya-pradesh
indore district,366977,0,2018,1,madhya-pradesh
shahdol district,26509,0,2018,1,madhya-pradesh
ratlam district,49298,0,2018,1,madhya-pradesh
panna district,13874,0,2018,1,madhya-pradesh
chhatarpur district,36004,0,2018,1,madhya-pradesh
morena district,58065,0,2018,2,madhya-pradesh
alirajpur district,5452,0,2018,2,madhya-pradesh
sehore district,82040,0,2018,2,madhya-pradesh
rajgarh district,54095,0,2018,2,madhya-pradesh
khargone district,56609,0,2018,2,madhya-pradesh
satna district,81811,0,2018,2,madhya-pradesh
narsinghpur district,51214,0,2018,2,madhya-pradesh
jabalpur district,155624,0,2018,2,madhya-pradesh
hoshangabad district,67994,0,2018,2,madhya-pradesh
vidisha district,59517,0,2018,2,madhya-pradesh
balaghat district,51925,0,2018,2,madhya-pradesh
singrauli district,59664,0,2018,2,madhya-pradesh
betul district,66003,0,2018,2,madhya-pradesh
sidhi district,27757,0,2018,2,madhya-pradesh
datia district,23685,0,2018,2,madhya-pradesh
dewas district,84342,0,2018,2,madhya-pradesh
sheopur district,13621,0,2018,2,madhya-pradesh
neemuch district,37523,0,2018,2,madhya-pradesh
raisen district,63216,0,2018,2,madhya-pradesh
mandsaur district,56151,0,2018,2,madhya-pradesh
barwani district,22443,0,2018,2,madhya-pradesh
katni district,39536,0,2018,2,madhya-pradesh
dindori district,9224,0,2018,2,madhya-pradesh
shivpuri district,37234,0,2018,2,madhya-pradesh
gwalior district,193605,0,2018,2,madhya-pradesh
anuppur district,25374,0,2018,2,madhya-pradesh
agar malwa district,16753,0,2018,2,madhya-pradesh
ashoknagar district,23253,0,2018,2,madhya-pradesh
sagar district,100623,0,2018,2,madhya-pradesh
niwari district,9413,0,2018,2,madhya-pradesh
rewa district,100661,0,2018,2,madhya-pradesh
shajapur district,41285,0,2018,2,madhya-pradesh
ujjain district,113216,0,2018,2,madhya-pradesh
bhind district,47639,0,2018,2,madhya-pradesh
tikamgarh district,21942,0,2018,2,madhya-pradesh
seoni district,39979,0,2018,2,madhya-pradesh
harda district,24635,0,2018,2,madhya-pradesh
burhanpur district,22302,0,2018,2,madhya-pradesh
damoh district,33463,0,2018,2,madhya-pradesh
bhopal district,398498,0,2018,2,madhya-pradesh
jhabua district,13499,0,2018,2,madhya-pradesh
dhar district,86280,0,2018,2,madhya-pradesh
guna district,52881,0,2018,2,madhya-pradesh
east nimar district,39725,0,2018,2,madhya-pradesh
chhindwara district,87704,0,2018,2,madhya-pradesh
umaria district,15772,0,2018,2,madhya-pradesh
mandla district,19276,0,2018,2,madhya-pradesh
indore district,479904,0,2018,2,madhya-pradesh
shahdol district,35993,0,2018,2,madhya-pradesh
ratlam district,66181,0,2018,2,madhya-pradesh
panna district,18555,0,2018,2,madhya-pradesh
chhatarpur district,48506,0,2018,2,madhya-pradesh
morena district,75004,0,2018,3,madhya-pradesh
alirajpur district,7606,0,2018,3,madhya-pradesh
sehore district,103905,0,2018,3,madhya-pradesh
rajgarh district,70348,0,2018,3,madhya-pradesh
khargone district,72892,0,2018,3,madhya-pradesh
satna district,103407,0,2018,3,madhya-pradesh
narsinghpur district,64578,0,2018,3,madhya-pradesh
jabalpur district,193535,0,2018,3,madhya-pradesh
hoshangabad district,84713,0,2018,3,madhya-pradesh
vidisha district,76590,0,2018,3,madhya-pradesh
balaghat district,68079,0,2018,3,madhya-pradesh
singrauli district,73175,0,2018,3,madhya-pradesh
betul district,83041,0,2018,3,madhya-pradesh
sidhi district,35518,0,2018,3,madhya-pradesh
datia district,30483,0,2018,3,madhya-pradesh
dewas district,105774,0,2018,3,madhya-pradesh
sheopur district,17723,0,2018,3,madhya-pradesh
neemuch district,47901,0,2018,3,madhya-pradesh
raisen district,78648,0,2018,3,madhya-pradesh
mandsaur district,73577,0,2018,3,madhya-pradesh
barwani district,29421,0,2018,3,madhya-pradesh
katni district,49748,0,2018,3,madhya-pradesh
dindori district,12903,0,2018,3,madhya-pradesh
shivpuri district,47616,0,2018,3,madhya-pradesh
gwalior district,236305,0,2018,3,madhya-pradesh
anuppur district,32188,0,2018,3,madhya-pradesh
agar malwa district,22143,0,2018,3,madhya-pradesh
ashoknagar district,30102,0,2018,3,madhya-pradesh
sagar district,128283,0,2018,3,madhya-pradesh
niwari district,12173,0,2018,3,madhya-pradesh
rewa district,125803,0,2018,3,madhya-pradesh
shajapur district,52686,0,2018,3,madhya-pradesh
ujjain district,143770,0,2018,3,madhya-pradesh
bhind district,61906,0,2018,3,madhya-pradesh
tikamgarh district,28168,0,2018,3,madhya-pradesh
seoni district,51561,0,2018,3,madhya-pradesh
harda district,30835,0,2018,3,madhya-pradesh
burhanpur district,28441,0,2018,3,madhya-pradesh
damoh district,42032,0,2018,3,madhya-pradesh
bhopal district,474192,0,2018,3,madhya-pradesh
jhabua district,18084,0,2018,3,madhya-pradesh
dhar district,110726,0,2018,3,madhya-pradesh
guna district,67630,0,2018,3,madhya-pradesh
east nimar district,50390,0,2018,3,madhya-pradesh
chhindwara district,109266,0,2018,3,madhya-pradesh
umaria district,20386,0,2018,3,madhya-pradesh
mandla district,25522,0,2018,3,madhya-pradesh
indore district,585621,0,2018,3,madhya-pradesh
shahdol district,45154,0,2018,3,madhya-pradesh
ratlam district,85431,0,2018,3,madhya-pradesh
panna district,24008,0,2018,3,madhya-pradesh
chhatarpur district,60318,0,2018,3,madhya-pradesh
morena district,95267,0,2018,4,madhya-pradesh
alirajpur district,10442,0,2018,4,madhya-pradesh
sehore district,125974,0,2018,4,madhya-pradesh
rajgarh district,88511,0,2018,4,madhya-pradesh
khargone district,91189,0,2018,4,madhya-pradesh
satna district,133865,0,2018,4,madhya-pradesh
narsinghpur district,80034,0,2018,4,madhya-pradesh
jabalpur district,248495,0,2018,4,madhya-pradesh
hoshangabad district,104621,0,2018,4,madhya-pradesh
vidisha district,95544,0,2018,4,madhya-pradesh
balaghat district,88279,0,2018,4,madhya-pradesh
singrauli district,90217,0,2018,4,madhya-pradesh
betul district,103060,0,2018,4,madhya-pradesh
sidhi district,46218,0,2018,4,madhya-pradesh
datia district,39314,0,2018,4,madhya-pradesh
dewas district,129719,0,2018,4,madhya-pradesh
sheopur district,22653,0,2018,4,madhya-pradesh
neemuch district,59043,0,2018,4,madhya-pradesh
raisen district,97966,0,2018,4,madhya-pradesh
mandsaur district,91133,0,2018,4,madhya-pradesh
barwani district,37607,0,2018,4,madhya-pradesh
katni district,65040,0,2018,4,madhya-pradesh
dindori district,17502,0,2018,4,madhya-pradesh
shivpuri district,60316,0,2018,4,madhya-pradesh
gwalior district,284894,0,2018,4,madhya-pradesh
anuppur district,41252,0,2018,4,madhya-pradesh
agar malwa district,27331,0,2018,4,madhya-pradesh
ashoknagar district,37390,0,2018,4,madhya-pradesh
sagar district,162788,0,2018,4,madhya-pradesh
niwari district,15512,0,2018,4,madhya-pradesh
rewa district,160024,0,2018,4,madhya-pradesh
shajapur district,64217,0,2018,4,madhya-pradesh
ujjain district,177894,0,2018,4,madhya-pradesh
bhind district,78871,0,2018,4,madhya-pradesh
tikamgarh district,36395,0,2018,4,madhya-pradesh
seoni district,66772,0,2018,4,madhya-pradesh
harda district,37692,0,2018,4,madhya-pradesh
burhanpur district,35494,0,2018,4,madhya-pradesh
damoh district,52293,0,2018,4,madhya-pradesh
bhopal district,571518,0,2018,4,madhya-pradesh
jhabua district,23354,0,2018,4,madhya-pradesh
dhar district,137501,0,2018,4,madhya-pradesh
guna district,83686,0,2018,4,madhya-pradesh
east nimar district,62581,0,2018,4,madhya-pradesh
chhindwara district,139301,0,2018,4,madhya-pradesh
umaria district,26096,0,2018,4,madhya-pradesh
mandla district,34894,0,2018,4,madhya-pradesh
indore district,712479,0,2018,4,madhya-pradesh
shahdol district,58381,0,2018,4,madhya-pradesh
ratlam district,104855,0,2018,4,madhya-pradesh
panna district,31291,0,2018,4,madhya-pradesh
chhatarpur district,78677,0,2018,4,madhya-pradesh
morena district,113900,0,2019,1,madhya-pradesh
alirajpur district,13122,0,2019,1,madhya-pradesh
sehore district,149925,0,2019,1,madhya-pradesh
rajgarh district,106743,0,2019,1,madhya-pradesh
khargone district,109408,0,2019,1,madhya-pradesh
satna district,160954,0,2019,1,madhya-pradesh
narsinghpur district,95833,0,2019,1,madhya-pradesh
jabalpur district,295042,0,2019,1,madhya-pradesh
hoshangabad district,123858,0,2019,1,madhya-pradesh
vidisha district,112602,0,2019,1,madhya-pradesh
balaghat district,108073,0,2019,1,madhya-pradesh
singrauli district,107427,0,2019,1,madhya-pradesh
betul district,122961,0,2019,1,madhya-pradesh
sidhi district,55922,0,2019,1,madhya-pradesh
datia district,46221,0,2019,1,madhya-pradesh
dewas district,155786,0,2019,1,madhya-pradesh
sheopur district,27456,0,2019,1,madhya-pradesh
neemuch district,72918,0,2019,1,madhya-pradesh
raisen district,117214,0,2019,1,madhya-pradesh
mandsaur district,112086,0,2019,1,madhya-pradesh
barwani district,46138,0,2019,1,madhya-pradesh
katni district,79580,0,2019,1,madhya-pradesh
dindori district,22197,0,2019,1,madhya-pradesh
shivpuri district,73259,0,2019,1,madhya-pradesh
gwalior district,331504,0,2019,1,madhya-pradesh
anuppur district,49988,0,2019,1,madhya-pradesh
agar malwa district,33425,0,2019,1,madhya-pradesh
ashoknagar district,44386,0,2019,1,madhya-pradesh
sagar district,194467,0,2019,1,madhya-pradesh
niwari district,19076,0,2019,1,madhya-pradesh
rewa district,188803,0,2019,1,madhya-pradesh
shajapur district,76924,0,2019,1,madhya-pradesh
ujjain district,214818,0,2019,1,madhya-pradesh
bhind district,94313,0,2019,1,madhya-pradesh
tikamgarh district,44716,0,2019,1,madhya-pradesh
seoni district,82398,0,2019,1,madhya-pradesh
harda district,43995,0,2019,1,madhya-pradesh
burhanpur district,42152,0,2019,1,madhya-pradesh
damoh district,62435,0,2019,1,madhya-pradesh
bhopal district,670417,0,2019,1,madhya-pradesh
jhabua district,29064,0,2019,1,madhya-pradesh
dhar district,166663,0,2019,1,madhya-pradesh
guna district,98816,0,2019,1,madhya-pradesh
east nimar district,75806,0,2019,1,madhya-pradesh
chhindwara district,168633,0,2019,1,madhya-pradesh
umaria district,31962,0,2019,1,madhya-pradesh
mandla district,44325,0,2019,1,madhya-pradesh
indore district,844465,0,2019,1,madhya-pradesh
shahdol district,71433,0,2019,1,madhya-pradesh
ratlam district,127023,0,2019,1,madhya-pradesh
panna district,38426,0,2019,1,madhya-pradesh
chhatarpur district,95345,0,2019,1,madhya-pradesh
morena district,130988,777753,2019,2,madhya-pradesh
alirajpur district,15642,75803,2019,2,madhya-pradesh
sehore district,168843,1607496,2019,2,madhya-pradesh
rajgarh district,122223,914718,2019,2,madhya-pradesh
khargone district,126108,754539,2019,2,madhya-pradesh
satna district,182176,1103731,2019,2,madhya-pradesh
narsinghpur district,108271,651430,2019,2,madhya-pradesh
jabalpur district,336963,1955565,2019,2,madhya-pradesh
hoshangabad district,139812,794980,2019,2,madhya-pradesh
vidisha district,127894,871790,2019,2,madhya-pradesh
balaghat district,124374,842881,2019,2,madhya-pradesh
singrauli district,118756,944546,2019,2,madhya-pradesh
betul district,139098,864376,2019,2,madhya-pradesh
sidhi district,63838,424569,2019,2,madhya-pradesh
datia district,51973,290545,2019,2,madhya-pradesh
dewas district,177137,1331142,2019,2,madhya-pradesh
sheopur district,31903,184994,2019,2,madhya-pradesh
neemuch district,83550,500354,2019,2,madhya-pradesh
raisen district,132559,971165,2019,2,madhya-pradesh
mandsaur district,128631,773359,2019,2,madhya-pradesh
barwani district,54556,277619,2019,2,madhya-pradesh
katni district,92245,527269,2019,2,madhya-pradesh
dindori district,26511,200672,2019,2,madhya-pradesh
shivpuri district,86583,501054,2019,2,madhya-pradesh
gwalior district,373367,2306557,2019,2,madhya-pradesh
anuppur district,56658,377803,2019,2,madhya-pradesh
agar malwa district,38600,292056,2019,2,madhya-pradesh
ashoknagar district,50062,279455,2019,2,madhya-pradesh
sagar district,219328,1334316,2019,2,madhya-pradesh
niwari district,22172,132750,2019,2,madhya-pradesh
rewa district,211420,1287270,2019,2,madhya-pradesh
shajapur district,87512,629192,2019,2,madhya-pradesh
ujjain district,247033,1607376,2019,2,madhya-pradesh
bhind district,109406,631202,2019,2,madhya-pradesh
tikamgarh district,51785,327273,2019,2,madhya-pradesh
seoni district,95004,627785,2019,2,madhya-pradesh
harda district,49716,277928,2019,2,madhya-pradesh
burhanpur district,47659,216546,2019,2,madhya-pradesh
damoh district,70868,405290,2019,2,madhya-pradesh
bhopal district,756839,7697255,2019,2,madhya-pradesh
jhabua district,34299,183947,2019,2,madhya-pradesh
dhar district,190659,1306926,2019,2,madhya-pradesh
guna district,112899,675382,2019,2,madhya-pradesh
east nimar district,87794,538741,2019,2,madhya-pradesh
chhindwara district,192226,1236564,2019,2,madhya-pradesh
umaria district,36814,252403,2019,2,madhya-pradesh
mandla district,52317,300514,2019,2,madhya-pradesh
indore district,955207,7253934,2019,2,madhya-pradesh
shahdol district,80859,533248,2019,2,madhya-pradesh
ratlam district,144931,880438,2019,2,madhya-pradesh
panna district,44821,285489,2019,2,madhya-pradesh
chhatarpur district,110283,622161,2019,2,madhya-pradesh
morena district,148083,2558044,2019,3,madhya-pradesh
alirajpur district,18270,257443,2019,3,madhya-pradesh
sehore district,187387,6080342,2019,3,madhya-pradesh
rajgarh district,136848,3338233,2019,3,madhya-pradesh
khargone district,141346,2690866,2019,3,madhya-pradesh
satna district,203019,3664411,2019,3,madhya-pradesh
narsinghpur district,120875,2274938,2019,3,madhya-pradesh
jabalpur district,380209,7606084,2019,3,madhya-pradesh
hoshangabad district,155059,2757837,2019,3,madhya-pradesh
vidisha district,144856,3295731,2019,3,madhya-pradesh
balaghat district,140473,2940988,2019,3,madhya-pradesh
singrauli district,128398,3202868,2019,3,madhya-pradesh
betul district,154313,2992371,2019,3,madhya-pradesh
sidhi district,70641,1355033,2019,3,madhya-pradesh
datia district,57230,935190,2019,3,madhya-pradesh
dewas district,198483,5008074,2019,3,madhya-pradesh
sheopur district,35602,615351,2019,3,madhya-pradesh
neemuch district,93754,1784172,2019,3,madhya-pradesh
raisen district,146998,3523241,2019,3,madhya-pradesh
mandsaur district,144312,2768886,2019,3,madhya-pradesh
barwani district,62370,1003282,2019,3,madhya-pradesh
katni district,103909,1770759,2019,3,madhya-pradesh
dindori district,29957,660281,2019,3,madhya-pradesh
shivpuri district,99753,1753937,2019,3,madhya-pradesh
gwalior district,417846,8875564,2019,3,madhya-pradesh
anuppur district,62143,1313916,2019,3,madhya-pradesh
agar malwa district,43676,1029333,2019,3,madhya-pradesh
ashoknagar district,55130,940189,2019,3,madhya-pradesh
sagar district,243729,4741797,2019,3,madhya-pradesh
niwari district,24850,431904,2019,3,madhya-pradesh
rewa district,232367,4200296,2019,3,madhya-pradesh
shajapur district,98393,2337301,2019,3,madhya-pradesh
ujjain district,280589,6334170,2019,3,madhya-pradesh
bhind district,123531,2077370,2019,3,madhya-pradesh
tikamgarh district,58461,1053442,2019,3,madhya-pradesh
seoni district,105476,2091333,2019,3,madhya-pradesh
harda district,54924,903997,2019,3,madhya-pradesh
burhanpur district,54323,843768,2019,3,madhya-pradesh
damoh district,78642,1332506,2019,3,madhya-pradesh
bhopal district,846170,34013069,2019,3,madhya-pradesh
jhabua district,39668,646506,2019,3,madhya-pradesh
dhar district,214712,4674725,2019,3,madhya-pradesh
guna district,129027,2417458,2019,3,madhya-pradesh
east nimar district,98963,1908947,2019,3,madhya-pradesh
chhindwara district,214945,4290764,2019,3,madhya-pradesh
umaria district,40677,837857,2019,3,madhya-pradesh
mandla district,59617,1003980,2019,3,madhya-pradesh
indore district,1071598,30899773,2019,3,madhya-pradesh
shahdol district,89794,1918937,2019,3,madhya-pradesh
ratlam district,163826,3484646,2019,3,madhya-pradesh
panna district,49989,873018,2019,3,madhya-pradesh
chhatarpur district,125453,2038452,2019,3,madhya-pradesh
morena district,167329,3159169,2019,4,madhya-pradesh
alirajpur district,21450,346159,2019,4,madhya-pradesh
sehore district,208256,7562268,2019,4,madhya-pradesh
rajgarh district,154830,4313460,2019,4,madhya-pradesh
khargone district,160372,3603726,2019,4,madhya-pradesh
satna district,228680,4817447,2019,4,madhya-pradesh
narsinghpur district,134332,2841784,2019,4,madhya-pradesh
jabalpur district,422786,9017794,2019,4,madhya-pradesh
hoshangabad district,172206,3514682,2019,4,madhya-pradesh
vidisha district,165400,4073865,2019,4,madhya-pradesh
balaghat district,159937,3834727,2019,4,madhya-pradesh
singrauli district,142034,4135327,2019,4,madhya-pradesh
betul district,173691,3951316,2019,4,madhya-pradesh
sidhi district,80459,1795727,2019,4,madhya-pradesh
datia district,64135,1183175,2019,4,madhya-pradesh
dewas district,221533,6060885,2019,4,madhya-pradesh
sheopur district,40736,796162,2019,4,madhya-pradesh
neemuch district,105842,2304046,2019,4,madhya-pradesh
raisen district,165108,4296565,2019,4,madhya-pradesh
mandsaur district,164446,3663257,2019,4,madhya-pradesh
barwani district,72187,1344420,2019,4,madhya-pradesh
katni district,117834,2270464,2019,4,madhya-pradesh
dindori district,34661,858945,2019,4,madhya-pradesh
shivpuri district,117138,2219390,2019,4,madhya-pradesh
gwalior district,461960,10738672,2019,4,madhya-pradesh
anuppur district,69666,1725717,2019,4,madhya-pradesh
agar malwa district,49638,1299939,2019,4,madhya-pradesh
ashoknagar district,61984,1197370,2019,4,madhya-pradesh
sagar district,272650,5872759,2019,4,madhya-pradesh
niwari district,27993,521308,2019,4,madhya-pradesh
rewa district,260351,5452304,2019,4,madhya-pradesh
shajapur district,111387,2954931,2019,4,madhya-pradesh
ujjain district,314250,7706483,2019,4,madhya-pradesh
bhind district,140487,2609386,2019,4,madhya-pradesh
tikamgarh district,67015,1322633,2019,4,madhya-pradesh
seoni district,119177,2659804,2019,4,madhya-pradesh
harda district,61192,1185372,2019,4,madhya-pradesh
burhanpur district,62012,1107161,2019,4,madhya-pradesh
damoh district,88723,1655595,2019,4,madhya-pradesh
bhopal district,926576,38780902,2019,4,madhya-pradesh
jhabua district,45768,814254,2019,4,madhya-pradesh
dhar district,242108,6002521,2019,4,madhya-pradesh
guna district,150709,3020481,2019,4,madhya-pradesh
east nimar district,111341,2391157,2019,4,madhya-pradesh
