type,count,amount,name,from,to,year,quarter,state
TOTAL,265470,305168772.45601684,Financial Services,1601490600000,1609093800000,2020,4,andhra-pradesh
TOTAL,457527,306853355.59473807,Others,1601490600000,1609093800000,2020,4,andhra-pradesh
TOTAL,149313738,580542193013.0018,Peer-to-peer payments,1609439400000,1616869800000,2021,1,andhra-pradesh
TOTAL,97920281,70813192713.43477,Merchant payments,1609439400000,1616869800000,2021,1,andhra-pradesh
TOTAL,41940689,20546424964.14482,Recharge & bill payments,1609439400000,1616869800000,2021,1,andhra-pradesh
TOTAL,225355,270313028.48452014,Financial Services,1609439400000,1616869800000,2021,1,andhra-pradesh
TOTAL,347907,272546457.5502677,Others,1609439400000,1616869800000,2021,1,andhra-pradesh
TOTAL,189614879,737004484057.439,Peer-to-peer payments,1617215400000,1624818600000,2021,2,andhra-pradesh
TOTAL,112875274,88512429436.91248,Merchant payments,1617215400000,1624818600000,2021,2,andhra-pradesh
TOTAL,49626902,24646800345.106976,Recharge & bill payments,1617215400000,1624818600000,2021,2,andhra-pradesh
TOTAL,243237,265483044.40124667,Financial Services,1617215400000,1624818600000,2021,2,andhra-pradesh
TOTAL,406842,308302224.3856007,Others,1617215400000,1624818600000,2021,2,andhra-pradesh
TOTAL,221280317,837841124664.307,Peer-to-peer payments,1625077800000,1632767400000,2021,3,andhra-pradesh
TOTAL,158290953,118164377968.16754,Merchant payments,1625077800000,1632767400000,2021,3,andhra-pradesh
TOTAL,51702350,27511344958.24361,Recharge & bill payments,1625077800000,1632767400000,2021,3,andhra-pradesh
TOTAL,211171,297239697.83073866,Financial Services,1625077800000,1632767400000,2021,3,andhra-pradesh
TOTAL,547759,403948275.56756073,Others,1625077800000,1632767400000,2021,3,andhra-pradesh
TOTAL,262006450,971269765249.1282,Peer-to-peer payments,1633026600000,1640629800000,2021,4,andhra-pradesh
TOTAL,207538904,152883933596.5386,Merchant payments,1633026600000,1640629800000,2021,4,andhra-pradesh
TOTAL,51762842,31232784713.985794,Recharge & bill payments,1633026600000,1640629800000,2021,4,andhra-pradesh
