type,count,amount,name,year,quarter,state
TOTAL,3141891,6880873007.4820595,spsr nellore district,2019,2,andhra-pradesh
TOTAL,2272320,4443041665.039663,vizianagaram district,2019,2,andhra-pradesh
TOTAL,11705738,20797479804.029076,visakhapatnam district,2019,2,andhra-pradesh
TOTAL,2670529,6262396448.455349,prakasam district,2019,2,andhra-pradesh
TOTAL,3578836,7830782361.377665,anantapur district,2019,2,andhra-pradesh
TOTAL,2606284,6376856828.130632,ysr district,2019,2,andhra-pradesh
TOTAL,2402074,5676818258.955046,west godavari district,2019,2,andhra-pradesh
TOTAL,3895824,7358285187.018034,kurnool district,2019,2,andhra-pradesh
TOTAL,5983308,10982727976.224325,chittoor district,2019,2,andhra-pradesh
TOTAL,5005275,10405246943.481495,guntur district,2019,2,andhra-pradesh
TOTAL,6428472,13437029115.620754,krishna district,2019,2,andhra-pradesh
TOTAL,6537303,11387726470.57774,east godavari district,2019,3,andhra-pradesh
TOTAL,2556296,4610131289.524039,srikakulam district,2019,3,andhra-pradesh
TOTAL,4150195,8256600118.735449,spsr nellore district,2019,3,andhra-pradesh
TOTAL,2861581,4922069039.19216,vizianagaram district,2019,3,andhra-pradesh
TOTAL,16694947,26944837120.046288,visakhapatnam district,2019,3,andhra-pradesh
TOTAL,3430750,7354502261.150911,prakasam district,2019,3,andhra-pradesh
TOTAL,4889720,9554081289.488277,anantapur district,2019,3,andhra-pradesh
TOTAL,3296586,7447544274.2117815,ysr district,2019,3,andhra-pradesh
TOTAL,3179541,6627629029.01413,west godavari district,2019,3,andhra-pradesh
TOTAL,5139134,9025632779.412457,kurnool district,2019,3,andhra-pradesh
TOTAL,8201783,13837455758.755266,chittoor district,2019,3,andhra-pradesh
TOTAL,6942304,13075661264.188034,guntur district,2019,3,andhra-pradesh
TOTAL,8408474,16404073560.500784,krishna district,2019,3,andhra-pradesh
TOTAL,9285739,16816774065.301317,east godavari district,2019,4,andhra-pradesh
TOTAL,3712555,6832369301.879345,srikakulam district,2019,4,andhra-pradesh
TOTAL,5877804,11786014089.194027,spsr nellore district,2019,4,andhra-pradesh
TOTAL,3998234,7175851807.068796,vizianagaram district,2019,4,andhra-pradesh
TOTAL,23594874,39133296330.044624,visakhapatnam district,2019,4,andhra-pradesh
TOTAL,4865473,10604077824.801035,prakasam district,2019,4,andhra-pradesh
TOTAL,6764112,13887248889.064066,anantapur district,2019,4,andhra-pradesh
TOTAL,4793157,10865073855.730783,ysr district,2019,4,andhra-pradesh
