entityName,metric.type,metric.count,metric.amount,year,quarter,state
north and middle andaman,TOTAL,10979,22447714.061058953,2020,2,andaman-&-nicobar-islands
nicobars,TOTAL,3895,14341508.60470232,2020,2,andaman-&-nicobar-islands
744101,TOTAL,11868,48293323.21851964,2020,2,andaman-&-nicobar-islands
744103,TOTAL,10035,26197535.98945152,2020,2,andaman-&-nicobar-islands
744105,TOTAL,9341,23203019.858980607,2020,2,andaman-&-nicobar-islands
744102,TOTAL,6012,17786750.907515876,2020,2,andaman-&-nicobar-islands
744202,TOTAL,3722,8924121.010762567,2020,2,andaman-&-nicobar-islands
744107,TOTAL,2555,3980470.6853698147,2020,2,andaman-&-nicobar-islands
744301,TOTAL,2275,9055232.527755566,2020,2,andaman-&-nicobar-islands
744211,TOTAL,2045,3319717.6328789736,2020,2,andaman-&-nicobar-islands
744205,TOTAL,1847,4459064.90732021,2020,2,andaman-&-nicobar-islands
744104,TOTAL,1840,3334591.822304932,2020,2,andaman-&-nicobar-islands
south andaman,TOTAL,95323,282366109.20523936,2020,3,andaman-&-nicobar-islands
north and middle andaman,TOTAL,16747,33486883.37042556,2020,3,andaman-&-nicobar-islands
nicobars,TOTAL,5413,22166453.754695382,2020,3,andaman-&-nicobar-islands
744101,TOTAL,24386,100439119.66860783,2020,3,andaman-&-nicobar-islands
744103,TOTAL,21272,60332278.69396809,2020,3,andaman-&-nicobar-islands
744105,TOTAL,17166,44061506.56273589,2020,3,andaman-&-nicobar-islands
744102,TOTAL,13934,43077189.842844136,2020,3,andaman-&-nicobar-islands
744202,TOTAL,5779,11975748.707876923,2020,3,andaman-&-nicobar-islands
744107,TOTAL,4753,7628018.669464628,2020,3,andaman-&-nicobar-islands
744104,TOTAL,3468,7353834.51320935,2020,3,andaman-&-nicobar-islands
744112,TOTAL,3422,6067986.696111794,2020,3,andaman-&-nicobar-islands
744301,TOTAL,3071,13352610.531559702,2020,3,andaman-&-nicobar-islands
744205,TOTAL,2991,7535645.788593667,2020,3,andaman-&-nicobar-islands
south andaman,TOTAL,186494,523122462.883029,2020,4,andaman-&-nicobar-islands
north and middle andaman,TOTAL,29349,68941322.38839513,2020,4,andaman-&-nicobar-islands
nicobars,TOTAL,8688,35218871.04342848,2020,4,andaman-&-nicobar-islands
